id,created_at,full_text_preprocessed,entities.symbols,quality,num_cashtags
1510030638845415431,Fri Apr 01 23:05:33 +0000 2022,best of breedsaas crm ddog olo cybersecurity crwd zs netcloud services amzn msft big data snow pltradtech ttd googl apps ecomm shop etsy semis nvda amd lrcxfintech sq pypl upstindustrials de consumer hd cost tscoev tsla others,"[{'text': 'CRM', 'indices': [20, 24]}, {'text': 'DDOG', 'indices': [25, 30]}, {'text': 'OLO', 'indices': [31, 35]}, {'text': 'CRWD', 'indices': [53, 58]}, {'text': 'ZS', 'indices': [59, 62]}, {'text': 'NET', 'indices': [63, 67]}, {'text': 'AMZN', 'indices': [84, 89]}, {'text': 'MSFT', 'indices': [90, 95]}, {'text': 'SNOW', 'indices': [107, 112]}, {'text': 'PLTR', 'indices': [113, 118]}, {'text': 'TTD', 'indices': [127, 131]}, {'text': 'GOOGL', 'indices': [132, 138]}, {'text': 'APPS', 'indices': [139, 144]}, {'text': 'SHOP', 'indices': [154, 159]}, {'text': 'ETSY', 'indices': [160, 165]}, {'text': 'NVDA', 'indices': [174, 179]}, {'text': 'AMD', 'indices': [180, 184]}, {'text': 'LRCX', 'indices': [185, 190]}, {'text': 'SQ', 'indices': [200, 203]}, {'text': 'PYPL', 'indices': [204, 209]}, {'text': 'UPST', 'indices': [210, 215]}, {'text': 'DE', 'indices': [229, 232]}, {'text': 'HD', 'indices': [244, 247]}, {'text': 'COST', 'indices': [248, 253]}, {'text': 'TSCO', 'indices': [254, 259]}, {'text': 'TSLA', 'indices': [264, 269]}]",True,0
1510030427473465349,Fri Apr 01 23:04:43 +0000 2022,tsla ready to level up,"[{'text': 'TSLA', 'indices': [0, 5]}]",False,0
1510030411912683529,Fri Apr 01 23:04:39 +0000 2022,buy puts of anything but tsla,"[{'text': 'tsla', 'indices': [39, 44]}]",False,0
1510030300574892037,Fri Apr 01 23:04:13 +0000 2022,thanks spacex is unique i agree though im selling some mining holdings to fund for spacex will never reduce any of my tsla options leaps or shares i consider tesla as unique,"[{'text': 'TSLA', 'indices': [160, 165]}]",False,0
1510030221965422593,Fri Apr 01 23:03:54 +0000 2022,tsla bulls turn bears you had two days to make your leftovers ,"[{'text': 'TSLA', 'indices': [0, 5]}]",False,0
1510030031468302345,Fri Apr 01 23:03:09 +0000 2022,tsla the real power hour ,"[{'text': 'TSLA', 'indices': [0, 5]}]",False,0
1510030017837015041,Fri Apr 01 23:03:05 +0000 2022,tsla earnings texas stock split k eoy,"[{'text': 'TSLA', 'indices': [0, 5]}]",False,0
1510029924240961548,Fri Apr 01 23:02:43 +0000 2022,bond market flashes recession signal as yield curve inverts for first time since msft aapl googl fb amzn v tsla jpm ko t vz mmm spy unh dhr cat tmo uso abbv dwac xom,"[{'text': 'MSFT', 'indices': [120, 125]}, {'text': 'AAPL', 'indices': [126, 131]}, {'text': 'GOOGL', 'indices': [132, 138]}, {'text': 'FB', 'indices': [139, 142]}, {'text': 'AMZN', 'indices': [143, 148]}, {'text': 'V', 'indices': [149, 151]}, {'text': 'TSLA', 'indices': [152, 157]}, {'text': 'JPM', 'indices': [158, 162]}, {'text': 'KO', 'indices': [163, 166]}, {'text': 'T', 'indices': [167, 169]}, {'text': 'VZ', 'indices': [177, 180]}, {'text': 'MMM', 'indices': [181, 185]}, {'text': 'SPY', 'indices': [186, 190]}, {'text': 'UNH', 'indices': [191, 195]}, {'text': 'DHR', 'indices': [196, 200]}, {'text': 'CAT', 'indices': [201, 205]}, {'text': 'TMO', 'indices': [206, 210]}, {'text': 'USO', 'indices': [211, 215]}, {'text': 'ABBV', 'indices': [216, 221]}, {'text': 'DWAC', 'indices': [222, 227]}, {'text': 'XOM', 'indices': [228, 232]}]",False,0
1510029826614505476,Fri Apr 01 23:02:20 +0000 2022,tsla understand why gap ups happen so you dont get caught in them whenever a stock has a hard time breaking resistance they will try to cheat their way past,"[{'text': 'TSLA', 'indices': [0, 5]}]",False,0
1510029802199449601,Fri Apr 01 23:02:14 +0000 2022,i am happy with tsla shares,"[{'text': 'TSLA', 'indices': [38, 43]}]",False,0
1510029652735279109,Fri Apr 01 23:01:38 +0000 2022,i hav d tsla delivery k,"[{'text': 'TSLA', 'indices': [22, 27]}]",False,0
1510029471985938440,Fri Apr 01 23:00:55 +0000 2022,my prediction is k its based on the assumption shanghai lockdown impacted more on production than on deliveries as i assume tesla was able to move produced cars outside of shanghai municipality before the shut down late prod cars would have not been delivered anyway tsla,"[{'text': 'TSLA', 'indices': [274, 279]}]",False,0
1510029449399615492,Fri Apr 01 23:00:50 +0000 2022,twitters recommended buytsla mentions spy mentions qqq mentions twitters recommended sell tsla mentions spy mentions spx mentions qqq mentions,"[{'text': 'TSLA', 'indices': [28, 33]}, {'text': 'SPY', 'indices': [48, 52]}, {'text': 'QQQ', 'indices': [67, 71]}, {'text': 'TSLA', 'indices': [116, 121]}, {'text': 'SPY', 'indices': [136, 140]}, {'text': 'SPX', 'indices': [155, 159]}, {'text': 'QQQ', 'indices': [173, 177]}]",False,0
1510029260056145926,Fri Apr 01 23:00:05 +0000 2022,more bullish on q earnings than q deliveries tsla,"[{'text': 'tsla', 'indices': [47, 52]}]",False,0
1510028948402585600,Fri Apr 01 22:58:50 +0000 2022,top holdings googl amzn fb msft meli avgo dis nvda tsla ttd other holdings between  and  upst adbe lrcx v apps bx pypl tsm spy asml glob kkr nke,"[{'text': 'GOOGL', 'indices': [18, 24]}, {'text': 'AMZN', 'indices': [30, 35]}, {'text': 'FB', 'indices': [41, 44]}, {'text': 'MSFT', 'indices': [50, 55]}, {'text': 'MELI', 'indices': [61, 66]}, {'text': 'AVGO', 'indices': [72, 77]}, {'text': 'DIS', 'indices': [83, 87]}, {'text': 'NVDA', 'indices': [93, 98]}, {'text': 'TSLA', 'indices': [104, 109]}, {'text': 'TTD', 'indices': [115, 119]}, {'text': 'UPST', 'indices': [162, 167]}, {'text': 'ADBE', 'indices': [168, 173]}, {'text': 'LRCX', 'indices': [174, 179]}, {'text': 'V', 'indices': [180, 182]}, {'text': 'APPS', 'indices': [183, 188]}, {'text': 'BX', 'indices': [189, 192]}, {'text': 'PYPL', 'indices': [193, 198]}, {'text': 'TSM', 'indices': [199, 203]}, {'text': 'SPY', 'indices': [204, 208]}, {'text': 'ASML', 'indices': [209, 214]}, {'text': 'GLOB', 'indices': [215, 220]}, {'text': 'KKR', 'indices': [221, 225]}, {'text': 'NKE', 'indices': [226, 230]}]",False,0
1510028622530289669,Fri Apr 01 22:57:33 +0000 2022,if i did a challenge account it would be with at least k so i can play tsla amzn options dte on these names are op,"[{'text': 'TSLA', 'indices': [72, 77]}, {'text': 'AMZN', 'indices': [78, 83]}]",True,0
1510028529945260037,Fri Apr 01 22:57:11 +0000 2022,yep i thought correction is done and now only good stocks are doing well really well because they got beat up during the correction such as tsla,"[{'text': 'tsla', 'indices': [172, 177]}]",False,0
1510028501117718533,Fri Apr 01 22:57:04 +0000 2022,after experiencing tesla fsd beta  i am confident this software is the k tesla end of this year or next for sure tsla,"[{'text': 'TSLA', 'indices': [120, 125]}]",True,0
1510028003417362433,Fri Apr 01 22:55:05 +0000 2022,sold tslabought megef,"[{'text': 'TSLA', 'indices': [20, 25]}, {'text': 'MEGEF', 'indices': [33, 39]}]",False,0
1510027893719863298,Fri Apr 01 22:54:39 +0000 2022,and the team are actual mad scientists if you watch one thing on twitter today make it this were living in the future tsla,"[{'text': 'TSLA', 'indices': [140, 145]}]",False,0
1510027862631493633,Fri Apr 01 22:54:32 +0000 2022, chance of success you just have to wait tsla,"[{'text': 'TSLA', 'indices': [65, 70]}]",False,0
1510027821380358144,Fri Apr 01 22:54:22 +0000 2022,the marijuana to fentanyl overdose path is such an edge case that a tsla just crashed into it,"[{'text': 'TSLA', 'indices': [108, 113]}]",False,0
1510027787549216775,Fri Apr 01 22:54:14 +0000 2022,i am waiting for the day tsla will deliver more cars than gm in the us ev or gas maybe ,"[{'text': 'TSLA', 'indices': [41, 46]}, {'text': 'GM', 'indices': [75, 78]}]",False,0
1510027553825865729,Fri Apr 01 22:53:18 +0000 2022,pro tip every single time we short tsla for some good gains add a couple shares to the ira hold instant wire out and forget about it,"[{'text': 'TSLA', 'indices': [36, 41]}]",False,0
