id,created_at,full_text,full_text_preprocessed,entities.symbols,num_cashtags,query_params
1510406522232193025,Sat Apr 02 23:59:11 +0000 2022,"Question, what number would have been good enough for bears to stop hating on this company?
$TSLA 👆",question what number would have been good enough for bears to stop hating on this companytsla,"[{'text': 'TSLA', 'indices': [92, 97]}]",1,query:$TSLA -$TLRY -$GME -$HOOD -$AMC -filter:retweets since_id:1510044337538805762 until_date:2022-04-03 max_tweets:10
1510406468973088779,Sat Apr 02 23:58:58 +0000 2022,"@TeslaAndDoge BY EOW (End of Week) $1300-1400 - Don't let Monday dictate anything for you rookie shorts. Giga Texas opening and stock split news, not to mention innovation and new battery concept ✅💰 #tesla $tsla @Tesla . CEO @elonmusk GOAT https://t.co/NFlfUUaT0X",by eow end of week   dont let monday dictate anything for you rookie shorts giga texas opening and stock split news not to mention innovation and new battery concept tsla  ceo goat,"[{'text': 'tsla', 'indices': [206, 211]}]",1,query:$TSLA -$TLRY -$GME -$HOOD -$AMC -filter:retweets since_id:1510044337538805762 until_date:2022-04-03 max_tweets:10
1510406437566095363,Sat Apr 02 23:58:51 +0000 2022,"Remember when @GordonJohnson19 said $TSLA was a busted growth story? Lol. 
It’s a very small man who can’t admit that he was wrong, and few have been as wrong as GJ. 🤡",remember when said tsla was a busted growth story lol its a very small man who cant admit that he was wrong and few have been as wrong as gj,"[{'text': 'TSLA', 'indices': [36, 41]}]",1,query:$TSLA -$TLRY -$GME -$HOOD -$AMC -filter:retweets since_id:1510044337538805762 until_date:2022-04-03 max_tweets:10
1510406401952464900,Sat Apr 02 23:58:42 +0000 2022,$TSLA delivered 12X more than Nio. Do the math ✅,tsla delivered x more than nio do the math,"[{'text': 'TSLA', 'indices': [0, 5]}]",1,query:$TSLA -$TLRY -$GME -$HOOD -$AMC -filter:retweets since_id:1510044337538805762 until_date:2022-04-03 max_tweets:10
1510406376249516033,Sat Apr 02 23:58:36 +0000 2022,"@DobackHuffInc @Toyota @GM @Ford @Stellantis @Honda @Tesla @elonmusk Based on best estimate, $TSLA sales up 57% YoY Q1

But these are the only reported and published numbers available

Doback is just looking for attention. Don’t give it to him",based on best estimate tsla sales up  yoy qbut these are the only reported and published numbers availabledoback is just looking for attention dont give it to him,"[{'text': 'TSLA', 'indices': [93, 98]}]",1,query:$TSLA -$TLRY -$GME -$HOOD -$AMC -filter:retweets since_id:1510044337538805762 until_date:2022-04-03 max_tweets:10
1510406371619250176,Sat Apr 02 23:58:35 +0000 2022,"$TSLA..why Q1's slight miss shouldn't be a problem?

https://t.co/qynGgqVjqn",tslawhy qs slight miss shouldnt be a problem,"[{'text': 'TSLA', 'indices': [0, 5]}]",1,query:$TSLA -$TLRY -$GME -$HOOD -$AMC -filter:retweets since_id:1510044337538805762 until_date:2022-04-03 max_tweets:10
1510406300936540162,Sat Apr 02 23:58:18 +0000 2022,$TSLA for all it's worth 0.002% ROI 💫,tsla for all its worth  roi,"[{'text': 'TSLA', 'indices': [0, 5]}]",1,query:$TSLA -$TLRY -$GME -$HOOD -$AMC -filter:retweets since_id:1510044337538805762 until_date:2022-04-03 max_tweets:10
1510406222297505792,Sat Apr 02 23:58:00 +0000 2022,$TSLA It would be easy for analysts to get bullish with these numbers...certain analysts who loaded extended calls with the split announcement for example 😆 ️,tsla it would be easy for analysts to get bullish with these numberscertain analysts who loaded extended calls with the split announcement for example,"[{'text': 'TSLA', 'indices': [0, 5]}]",1,query:$TSLA -$TLRY -$GME -$HOOD -$AMC -filter:retweets since_id:1510044337538805762 until_date:2022-04-03 max_tweets:10
1510406039534899200,Sat Apr 02 23:57:16 +0000 2022,$TSLA it's probably just going to go the way of the market Monday 🪄,tsla its probably just going to go the way of the market monday,"[{'text': 'TSLA', 'indices': [0, 5]}]",1,query:$TSLA -$TLRY -$GME -$HOOD -$AMC -filter:retweets since_id:1510044337538805762 until_date:2022-04-03 max_tweets:10
1510405860765278211,Sat Apr 02 23:56:33 +0000 2022,@JonBryant421 As well as selling the stock she hypes. $tsla,as well as selling the stock she hypes tsla,"[{'text': 'tsla', 'indices': [54, 59]}]",1,query:$TSLA -$TLRY -$GME -$HOOD -$AMC -filter:retweets since_id:1510044337538805762 until_date:2022-04-03 max_tweets:10
1510406386047348737,Sat Apr 02 23:58:39 +0000 2022,@TALLMAN2THEMOON @ThatGuyAstro @davidmarinojr @RicosTrade @colin_gladman @PinoyApe Been #hodling my xxx $amc since Jan2021. I'm going to stay positive and wait for alerts because I can't watch the line.  Too nerve wracking. https://t.co/Voy4Xul1zS,been my xxx amc since jan im going to stay positive and wait for alerts because i cant watch the line too nerve wracking,"[{'text': 'amc', 'indices': [104, 108]}]",1,query:$AMC -$TLRY -$GME -$HOOD -$TSLA -filter:retweets since_id:1510044337538805762 until_date:2022-04-03 max_tweets:10
1510406092030840835,Sat Apr 02 23:57:28 +0000 2022,Great video about days to cover trend $AMC https://t.co/qHmb5LjWjf,great video about days to cover trend amc,"[{'text': 'AMC', 'indices': [38, 42]}]",1,query:$AMC -$TLRY -$GME -$HOOD -$TSLA -filter:retweets since_id:1510044337538805762 until_date:2022-04-03 max_tweets:10
1510405662035124229,Sat Apr 02 23:55:46 +0000 2022,"I’m not hating. But this it the type of person you don’t follow. You’re saying that $AMC is gonna run 400% next week. 

Stop with this madness. AMC had its run. Accept it and move on. https://t.co/8nDCHdKhBm",im not hating but this it the type of person you dont follow youre saying that amc is gonna run  next week stop with this madness amc had its run accept it and move on,"[{'text': 'AMC', 'indices': [84, 88]}]",1,query:$AMC -$TLRY -$GME -$HOOD -$TSLA -filter:retweets since_id:1510044337538805762 until_date:2022-04-03 max_tweets:10
1510405426914942983,Sat Apr 02 23:54:50 +0000 2022,"Finally, 3rd  self retweet. $AMC https://t.co/0mL5gHCRyf",finally rd self retweet amc,"[{'text': 'AMC', 'indices': [28, 32]}]",1,query:$AMC -$TLRY -$GME -$HOOD -$TSLA -filter:retweets since_id:1510044337538805762 until_date:2022-04-03 max_tweets:10
1510405389451419656,Sat Apr 02 23:54:41 +0000 2022,I take $amc off on the weekends but I bleed red and white !,i take amc off on the weekends but i bleed red and white ,"[{'text': 'amc', 'indices': [7, 11]}]",1,query:$AMC -$TLRY -$GME -$HOOD -$TSLA -filter:retweets since_id:1510044337538805762 until_date:2022-04-03 max_tweets:10
1510405289283051523,Sat Apr 02 23:54:17 +0000 2022,"@TaraBull808 #UNCvsDuke pick a side!! 
$AMC
#AMCNOTLEAVING https://t.co/yf30AymSM5",pick a side amc,"[{'text': 'AMC', 'indices': [39, 43]}]",1,query:$AMC -$TLRY -$GME -$HOOD -$TSLA -filter:retweets since_id:1510044337538805762 until_date:2022-04-03 max_tweets:10
1510405241015083018,Sat Apr 02 23:54:06 +0000 2022,Another retweet of my own tweet. Had to be done. Check it $AMC https://t.co/mTHFiCJH5F,another retweet of my own tweet had to be done check it amc,"[{'text': 'AMC', 'indices': [58, 62]}]",1,query:$AMC -$TLRY -$GME -$HOOD -$TSLA -filter:retweets since_id:1510044337538805762 until_date:2022-04-03 max_tweets:10
1510405091064434699,Sat Apr 02 23:53:30 +0000 2022,Important for me to retweet my own tweet. $AMC https://t.co/Sf7jSIYN8d,important for me to retweet my own tweet amc,"[{'text': 'AMC', 'indices': [42, 46]}]",1,query:$AMC -$TLRY -$GME -$HOOD -$TSLA -filter:retweets since_id:1510044337538805762 until_date:2022-04-03 max_tweets:10
1510404877398204419,Sat Apr 02 23:52:39 +0000 2022,"The reasoning makes sense, anyone/everyone poke logical holes in it without screaming #FUD 
#AMC $AMC @CEOAdam https://t.co/UzEkZPdyVj",the reasoning makes sense anyoneeveryone poke logical holes in it without screaming amc,"[{'text': 'AMC', 'indices': [97, 101]}]",1,query:$AMC -$TLRY -$GME -$HOOD -$TSLA -filter:retweets since_id:1510044337538805762 until_date:2022-04-03 max_tweets:10
1510404846981349376,Sat Apr 02 23:52:32 +0000 2022,"$AMC If the FBI was watching the ticker last week around the halt time, they should have a stronger case built against these Shorts who are manipulating this. ❗",amc if the fbi was watching the ticker last week around the halt time they should have a stronger case built against these shorts who are manipulating this,"[{'text': 'AMC', 'indices': [0, 4]}]",1,query:$AMC -$TLRY -$GME -$HOOD -$TSLA -filter:retweets since_id:1510044337538805762 until_date:2022-04-03 max_tweets:10
